file_name,company_name,ticker,date,city,full_doc_exposure_count,full_doc_risk_percentage,full_doc_positive_count,full_doc_positive_percentage,full_doc_neutral_count,full_doc_neutral_percentage,full_doc_negative_count,full_doc_negative_percentage,full_doc_coleman_liau,full_doc_dale_chall,full_doc_automated_readability,full_doc_flesch_ease,full_doc_flesch_kincaid,full_doc_gunning_fog,full_doc_smog_index,full_doc_overall,full_doc_lm_positive,full_doc_lm_negative,full_doc_lm_net_sentiment,full_doc_lm_polarity,full_doc_lm_subjectivity,presentation_exposure_count,presentation_risk_percentage,presentation_positive_count,presentation_positive_percentage,presentation_neutral_count,presentation_neutral_percentage,presentation_negative_count,presentation_negative_percentage,presentation_coleman_liau,presentation_dale_chall,presentation_automated_readability,presentation_flesch_ease,presentation_flesch_kincaid,presentation_gunning_fog,presentation_smog_index,presentation_overall,presentation_lm_positive,presentation_lm_negative,presentation_lm_net_sentiment,presentation_lm_polarity,presentation_lm_subjectivity,analyst_qa_exposure_count,analyst_qa_risk_percentage,analyst_qa_positive_count,analyst_qa_positive_percentage,analyst_qa_neutral_count,analyst_qa_neutral_percentage,analyst_qa_negative_count,analyst_qa_negative_percentage,analyst_qa_coleman_liau,analyst_qa_dale_chall,analyst_qa_automated_readability,analyst_qa_flesch_ease,analyst_qa_flesch_kincaid,analyst_qa_gunning_fog,analyst_qa_smog_index,analyst_qa_overall,analyst_qa_lm_positive,analyst_qa_lm_negative,analyst_qa_lm_net_sentiment,analyst_qa_lm_polarity,analyst_qa_lm_subjectivity,executive_qa_exposure_count,executive_qa_risk_percentage,executive_qa_positive_count,executive_qa_positive_percentage,executive_qa_neutral_count,executive_qa_neutral_percentage,executive_qa_negative_count,executive_qa_negative_percentage,executive_qa_coleman_liau,executive_qa_dale_chall,executive_qa_automated_readability,executive_qa_flesch_ease,executive_qa_flesch_kincaid,executive_qa_gunning_fog,executive_qa_smog_index,executive_qa_overall,executive_qa_lm_positive,executive_qa_lm_negative,executive_qa_lm_net_sentiment,executive_qa_lm_polarity,executive_qa_lm_subjectivity
10346337_T.xml,B&M European Value Retail SA,BME.L,05-26-2016,London,0,0.0,0,0.0,0,0.0,0,0.0,8.94,6.4,11.6,58.62,10.3,10.1,12.7,9.5,122,65,57,0.3048128325945838,0.05745007678726572,0,0.0,0,0.0,0,0.0,0,0.0,8.53,6.71,11.8,57.4,10.8,10.82,12.5,10.0,82,32,50,0.4385964873807326,0.054156769570471844,0,0.0,0,0.0,0,0.0,0,0.0,10.55,8.06,10.8,47.79,10.3,9.33,12.6,10.0,4,0,4,0.9999997500000625,0.0784313710111496,0,0.0,0,0.0,0,0.0,0,0.0,9.63,6.92,11.2,51.89,10.8,10.14,12.9,10.0,36,33,3,0.0434782602394455,0.0627843493514246
10406832_T.xml,Univest Financial Corp,UVSP,10-27-2016,SOUDERTON,1,0.0,0,0.0,1,100.0,0,0.0,8.7,6.66,9.5,62.88,8.7,8.83,11.3,8.0,35,27,8,0.12903225598335072,0.05201342277515652,1,0.0,0,0.0,1,100.0,0,0.0,14.39,9.2,18.7,33.95,13.6,12.82,15.5,13.0,5,5,0,0.0,0.04651162769064359,0,0.0,0,0.0,0,0.0,0,0.0,8.47,7.25,8.2,64.1,8.2,8.95,10.4,7.5,11,11,0,0.0,0.06940063069589707,0,0.0,0,0.0,0,0.0,0,0.0,7.48,6.68,8.0,71.55,7.4,8.68,10.7,7.5,19,11,8,0.26666665777777804,0.04545454538567493
10564986_T.xml,IRB Infrastructure Developers Ltd,IRB.NSE,08-11-2016,Mumbai,0,0.0,0,0.0,0,0.0,0,0.0,8.98,6.39,9.3,65.12,7.8,7.42,10.9,7.5,43,54,-11,-0.1134020606865767,0.04528478055775687,0,0.0,0,0.0,0,0.0,0,0.0,12.0,9.35,14.5,48.09,10.2,9.68,12.7,9.5,9,4,5,0.3846153550295881,0.03457446799315301,0,0.0,0,0.0,0,0.0,0,0.0,8.11,6.42,7.9,65.52,7.6,7.28,10.3,7.5,21,35,-14,-0.24999999553571436,0.050044682707734864,0,0.0,0,0.0,0,0.0,0,0.0,9.28,7.27,9.2,64.3,8.1,8.24,11.1,7.5,13,15,-2,-0.07142856887755111,0.04327666144779496
10564988_T.xml,IRB Infrastructure Developers Ltd,IRB.NSE,11-22-2016,Mumbai,1,0.0,0,0.0,1,100.0,0,0.0,8.93,6.29,9.8,62.78,8.7,8.39,11.5,8.0,60,78,-18,-0.13043478166351608,0.044863459023126315,0,0.0,0,0.0,0,0.0,0,0.0,11.54,9.02,14.7,46.17,10.9,9.98,12.9,10.0,7,3,4,0.39999996000000404,0.025773195809862898,1,0.0,0,0.0,1,100.0,0,0.0,8.87,6.38,9.0,63.9,8.3,8.09,11.2,8.0,42,55,-13,-0.13402061717504518,0.04908906880106828,0,0.0,0,0.0,0,0.0,0,0.0,8.36,7.26,10.5,67.28,9.0,10.62,11.6,8.0,11,20,-9,-0.29032257127991706,0.043539325781545894
10686272_T.xml,ParkerVision Inc,PRKR,11-14-2016,Jacksonville,7,28.57142857142857,1,14.285714285714285,5,71.42857142857143,1,14.285714285714285,10.39,7.24,13.4,49.15,11.9,11.64,13.7,11.5,86,80,6,0.03614457809551459,0.09600925384846197,6,16.666666666666664,0,0.0,5,83.33333333333334,1,16.666666666666664,11.49,7.57,14.5,40.08,13.3,12.29,14.4,14.0,76,52,24,0.18749999853515625,0.09221902010647044,0,0.0,0,0.0,0,0.0,0,0.0,-15.81,0.0,0.0,206.84,-15.7,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0,2,0.0,1,50.0,1,50.0,0,0.0,7.78,7.14,9.9,67.99,8.8,10.33,10.8,8.0,10,28,-18,-0.4736841980609422,0.11143694981983299
10703146_T.xml,ING Bank Slaski SA,ING.WA,08-03-2016,Katowice,1,0.0,0,0.0,0,0.0,1,100.0,8.17,6.47,8.5,64.81,7.9,8.18,10.8,7.5,63,76,-13,-0.09352517918327209,0.06991951706744491,0,0.0,0,0.0,0,0.0,0,0.0,8.58,6.86,9.3,64.1,8.2,8.77,10.9,8.0,44,33,11,0.14285714100185531,0.06508875734142962,0,0.0,0,0.0,0,0.0,0,0.0,7.65,7.71,7.1,74.39,6.3,8.32,9.7,7.5,2,13,-11,-0.7333332844444478,0.08982035874359066,1,0.0,0,0.0,0,0.0,1,100.0,8.0,7.14,7.5,65.52,7.6,8.58,10.9,7.5,17,30,-13,-0.2765957387958354,0.07366771148327945
10709105_T.xml,ING Bank Slaski SA,ING.WA,05-10-2016,Katowice,3,0.0,0,0.0,2,66.66666666666666,1,33.33333333333333,7.78,6.25,9.6,68.91,8.4,9.43,11.0,7.5,94,74,20,0.11904761833900228,0.0775265343435503,1,0.0,0,0.0,1,100.0,0,0.0,8.07,6.65,9.7,69.82,8.1,9.48,11.0,8.0,55,25,30,0.37499999531250006,0.07149240386819267,2,0.0,0,0.0,2,100.0,0,0.0,7.25,6.66,9.7,67.59,8.9,10.2,11.1,8.0,23,34,-11,-0.1929824527546938,0.07818930030426707,1,0.0,0,0.0,0,0.0,1,100.0,7.78,7.27,9.5,68.6,8.5,10.63,11.1,7.5,16,15,1,0.032258063475546335,0.09717868308094457
10709134_T.xml,ING Bank Slaski SA,ING.WA,11-04-2016,Katowice,2,0.0,0,0.0,2,100.0,0,0.0,8.29,6.15,8.0,66.03,7.5,7.5,10.5,7.5,76,81,-5,-0.0318471335551138,0.058364312245961225,1,0.0,0,0.0,1,100.0,0,0.0,8.23,6.68,9.0,64.81,7.9,8.24,10.7,7.5,28,32,-4,-0.06666666555555557,0.04184100415492259,0,0.0,0,0.0,0,0.0,0,0.0,7.75,7.46,6.4,68.67,6.4,7.56,9.7,7.5,10,14,-4,-0.1666666597222225,0.08510638267692772,2,0.0,0,0.0,2,100.0,0,0.0,7.99,6.74,7.3,66.74,7.2,8.05,10.4,7.5,38,35,3,0.04109588984800151,0.07494866522079192
10839535_T.xml,Aleris Corp,ALSD.PK,11-11-2016,Beachwood,1,0.0,0,0.0,1,100.0,0,0.0,13.0,7.46,16.0,40.38,13.2,12.06,14.7,12.0,62,78,-16,-0.11428571346938776,0.09608785168422247,1,0.0,0,0.0,1,100.0,0,0.0,13.0,7.46,16.0,40.38,13.2,12.06,14.7,12.0,62,78,-16,-0.11428571346938776,0.09608785168422247,0,0.0,0,0.0,0,0.0,0,0.0,-15.81,0.0,0.0,206.84,-15.7,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-15.81,0.0,0.0,206.84,-15.7,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0
10965872_T.xml,Zooplus AG,ZO1.DE,11-17-2016,"
  ",0,0.0,0,0.0,0,0.0,0,0.0,8.07,6.6,9.7,59.84,9.8,9.94,11.3,9.5,90,52,38,0.2676056319182702,0.07618025746986037,0,0.0,0,0.0,0,0.0,0,0.0,7.83,6.8,9.8,68.1,8.7,10.01,11.1,8.0,74,32,42,0.3962264113563546,0.08153846147573963,0,0.0,0,0.0,0,0.0,0,0.0,7.65,7.05,7.2,73.78,6.5,7.99,10.0,6.0,1,5,-4,-0.6666665555555741,0.06185566946540547,0,0.0,0,0.0,0,0.0,0,0.0,8.53,7.38,10.5,58.92,10.2,11.48,12.4,10.0,15,15,0,0.0,0.06423982855623163
11154966_T.xml,Aryzta AG,ARYN.VX,10-06-2016,Zurich,5,0.0,1,20.0,4,80.0,0,0.0,10.15,6.12,10.8,54.93,9.6,8.46,12.6,9.5,456,212,244,0.36526946053103376,0.07811038352688138,5,0.0,1,20.0,4,80.0,0,0.0,10.15,6.12,10.8,54.93,9.6,8.46,12.6,9.5,456,212,244,0.36526946053103376,0.07811038352688138,0,0.0,0,0.0,0,0.0,0,0.0,-15.81,0.0,0.0,206.84,-15.7,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,-15.81,0.0,0.0,206.84,-15.7,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0
11171371_T.xml,Boohoo Group PLC,BOO.L,09-27-2016,London,3,0.0,1,33.33333333333333,2,66.66666666666666,0,0.0,8.59,6.38,11.2,58.62,10.3,10.05,11.8,9.5,154,63,91,0.4193548367771667,0.058161350828689,1,0.0,1,100.0,0,0.0,0,0.0,9.23,6.89,11.5,59.43,10.0,10.21,12.1,9.5,108,21,87,0.6744185994231117,0.06128266030342867,0,0.0,0,0.0,0,0.0,0,0.0,8.76,7.3,9.8,69.62,8.1,9.62,11.0,9.5,14,27,-13,-0.31707316299821553,0.07765151500444789,2,0.0,0,0.0,2,100.0,0,0.0,7.72,6.75,11.7,63.73,10.4,11.63,11.9,11.5,32,15,17,0.3617021199637847,0.04280510014316475
11171604_T.xml,Boohoo Group PLC,BOO.L,06-08-2016,MANCHESTER,1,0.0,1,100.0,0,0.0,0,0.0,8.88,6.41,10.1,61.46,9.2,9.07,11.3,8.0,75,34,41,0.37614678553993774,0.06232132643663732,1,0.0,1,100.0,0,0.0,0,0.0,10.79,8.23,13.7,51.18,11.1,11.07,12.9,10.0,27,6,21,0.6363636170798904,0.06762295068110051,0,0.0,0,0.0,0,0.0,0,0.0,7.94,6.85,8.9,70.43,7.8,9.31,10.7,7.5,15,14,1,0.034482757431629055,0.05360443613012119,0,0.0,0,0.0,0,0.0,0,0.0,7.94,6.56,9.1,70.53,7.8,9.15,10.8,7.5,33,14,19,0.40425531054775937,0.0652777776871142
12085623_T.xml,Parade Technologies Ltd,4966.TWO,11-03-2016,SANTA CLARA,2,0.0,0,0.0,2,100.0,0,0.0,8.0,5.89,7.8,66.13,7.4,6.87,10.0,7.5,75,64,11,0.07913669007815331,0.054424432241807194,0,0.0,0,0.0,0,0.0,0,0.0,12.75,9.46,13.4,42.38,10.3,8.28,11.8,12.0,5,4,1,0.11111109876543349,0.0303030302009999,0,0.0,0,0.0,0,0.0,0,0.0,7.58,6.26,6.9,67.55,6.9,6.53,9.2,6.0,24,29,-5,-0.0943396208615166,0.06527093588020821,2,0.0,0,0.0,2,100.0,0,0.0,7.3,6.01,7.6,73.27,6.7,7.45,10.1,6.0,46,31,15,0.19480519227525725,0.053287197194956955
12455466_T.xml,Biocartis Group NV,BCART.BR,09-06-2016,MALINES (MECHELEN),2,0.0,1,50.0,1,50.0,0,0.0,9.81,6.92,12.2,50.97,11.2,10.48,12.8,9.5,55,69,-14,-0.11290322489594173,0.058435438238249086,2,0.0,0,0.0,2,100.0,0,0.0,9.92,7.34,12.8,50.26,11.4,11.17,13.3,9.5,36,34,2,0.028571428163265314,0.043914680022638215,1,0.0,1,100.0,0,0.0,0,0.0,9.69,7.49,10.8,60.75,9.5,10.09,11.4,9.5,13,31,-18,-0.40909089979338864,0.1512027486212964,1,0.0,1,100.0,0,0.0,0,0.0,8.93,7.83,9.9,61.67,9.1,10.77,12.0,8.0,6,4,2,0.19999998000000202,0.042194092648970075
12751392_T.xml,Beazley PLC,BEZ.L,07-22-2016,LONDON,4,0.0,0,0.0,4,100.0,0,0.0,8.12,6.14,9.6,62.17,8.9,8.64,11.3,8.0,111,159,-48,-0.17777777711934156,0.0705144946277058,4,0.0,1,25.0,3,75.0,0,0.0,8.47,6.8,10.0,62.38,8.9,9.17,11.4,8.0,69,58,11,0.0866141725463451,0.06924754630902533,1,0.0,0,0.0,1,100.0,0,0.0,7.94,6.76,8.2,64.0,8.2,8.36,10.9,7.5,14,49,-35,-0.5555555467372135,0.0656934305884323,2,0.0,0,0.0,2,100.0,0,0.0,8.01,6.77,10.2,59.53,9.9,10.14,11.7,9.5,28,52,-24,-0.29999999625000007,0.07722007714554045
12962290_T.xml,G5 Entertainment AB (publ),G5EN.ST,07-27-2016,"
  ",0,0.0,0,0.0,0,0.0,0,0.0,8.88,6.65,10.7,60.14,9.7,10.05,12.0,9.5,42,29,13,0.18309858897044243,0.07085828336241688,0,0.0,0,0.0,0,0.0,0,0.0,9.4,7.22,11.1,60.65,9.5,10.28,12.4,9.5,15,12,3,0.11111110699588492,0.04720279712027483,0,0.0,0,0.0,0,0.0,0,0.0,6.78,7.44,7.6,71.34,7.5,9.49,9.3,7.5,1,3,-2,-0.49999987500003124,0.12121211753902675,0,0.0,0,0.0,0,0.0,0,0.0,8.41,6.79,10.5,59.03,10.1,10.76,11.6,10.0,26,14,12,0.2999999925000002,0.10075566725250462
